"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alaska"	"02"	"2019"	"2019"	"March"	"3"	"4000 - 4499 grams"	"09"	102
	"Alaska"	"02"	"2019"	"2019"	"March"	"3"	"4500 - 4999 grams"	"10"	18
	"Alaska"	"02"	"2019"	"2019"	"April"	"4"	"1500 - 1999 grams"	"04"	10
	"Alaska"	"02"	"2019"	"2019"	"April"	"4"	"2000 - 2499 grams"	"05"	29
	"Alaska"	"02"	"2019"	"2019"	"April"	"4"	"2500 - 2999 grams"	"06"	135
	"Alaska"	"02"	"2019"	"2019"	"April"	"4"	"3000 - 3499 grams"	"07"	285
	"Alaska"	"02"	"2019"	"2019"	"April"	"4"	"3500 - 3999 grams"	"08"	258
	"Alaska"	"02"	"2019"	"2019"	"April"	"4"	"4000 - 4499 grams"	"09"	97
	"Alaska"	"02"	"2019"	"2019"	"April"	"4"	"4500 - 4999 grams"	"10"	15
	"Alaska"	"02"	"2019"	"2019"	"May"	"5"	"2000 - 2499 grams"	"05"	31
	"Alaska"	"02"	"2019"	"2019"	"May"	"5"	"2500 - 2999 grams"	"06"	117
	"Alaska"	"02"	"2019"	"2019"	"May"	"5"	"3000 - 3499 grams"	"07"	301
	"Alaska"	"02"	"2019"	"2019"	"May"	"5"	"3500 - 3999 grams"	"08"	265
	"Alaska"	"02"	"2019"	"2019"	"May"	"5"	"4000 - 4499 grams"	"09"	85
	"Alaska"	"02"	"2019"	"2019"	"May"	"5"	"4500 - 4999 grams"	"10"	10
	"Alaska"	"02"	"2019"	"2019"	"June"	"6"	"2000 - 2499 grams"	"05"	32
	"Alaska"	"02"	"2019"	"2019"	"June"	"6"	"2500 - 2999 grams"	"06"	120
	"Alaska"	"02"	"2019"	"2019"	"June"	"6"	"3000 - 3499 grams"	"07"	273
	"Alaska"	"02"	"2019"	"2019"	"June"	"6"	"3500 - 3999 grams"	"08"	262
